Přírodní isotopické složení: 100% 197Au,,,,,,,,,,,,,,,,,,,,,,
M=,196.966569,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Id,Reakce,Prah (keV),Isotop,Poločas (d),Poločas (s),Chyba T1/2 (d),Chyba T1/2 (s),Lambda,Energie (keV),Chyba energie (keV),Intenzita (%),Chyba intenzity (%),S (plocha peaku),Chyba plochy (%),Abs. Chyba plochy,Efektivita,Nr,Rr,Chyba Rr,A,Rr/Chyba Rr,Column 1/Chyba Rr
114,(n>p+4n)/(n>T+2n),28306.45,193Pt*m,4.33,374112,0,0,1.85277986421164E-06,1.642,0.002,0.0081,,,,,,,,,,,
112,(n>p+4n)/(n>T+2n),28306.45,193Pt*m,4.33,374112,0,0,1.85277986421164E-06,12.634,0.008,0.658,,,,,,,,,,,
37,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,19.92,0.01,0.0017,0,,,,,,,,,,
111,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,20.03,0.08,,,,,,,,,,,,
110,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,28.871,0.009,0.0013,0.00008,,,,,,,,,,
35,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,30.71,0.01,0.21,0,,,,,,,,,,
40,(n>3n),14789.5,195Au,186.09,16078176,0,0,4.3111058154852E-08,30.898,0.004,0.75,0.03,,,,,,,,,,
105,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,30.898,0.004,2.28,0.15,,,,,,,,,,
4,(n>g),0,198Au*m,2.27,196128,0,0,3.53415718591912E-06,50.5,,,,,,,,,,,,,
36,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,50.57,0.02,0.009,0,,,,,,,,,,
47,(n>3n),14789.5,195Au*m,0.0003530093,30.5,0,0,0.0227261371,56.8,0.03,0.0296,0.001,,,,,,,,,,
45,(n>3n),14789.5,195Au*m,0.0003530093,30.5,0,0,0.0227261371,61.46,0.03,0.167,0.008,,,,,,,,,,
98,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,73.62,0.03,0.105,0.011,,,,,,,,,,
100,(n>p),0,197Pt,0.8288125,71609.4,0,0,9.67955576446591E-06,77.351,0.002,17,1.6,,,,,,,,,,
34,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,84.66,0.02,0.293,0.01,,,,,,,,,,
5,(n>g),0,198Au*m,2.27,196128,0,0,3.53415718591912E-06,97.1949,0.0017,69.3,2.3,,,,,,,,,,
38,(n>3n),14789.5,195Au,186.09,16078176,0,0,4.3111058154852E-08,98.85,0.05,10.9,0.5,,,,,,,,,,
103,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,98.85,0.05,11.4,0.6,,,,,,,,,,
77,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,110.28,0.05,0.7,0.3,,,,,,,,,,
126,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,111.4,0.2,8.9,0.4,,,,,,,,,,
76,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,114.155,0.013,0.73,0.14,,,,,,,,,,
6,(n>g),0,198Au*m,2.27,196128,0,0,3.53415718591912E-06,115.2,1.5,0.0385,0.0008,,,,,,,,,,
79,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,117.99,0.02,0.51,0.08,,,,,,,,,,
93,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,119.64,0.03,0.17,0.04,,,,,,,,,,
106,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,129.5,0.2,0.084,0.005,,,,,,,,,,
39,(n>3n),14789.5,195Au,186.09,16078176,0,0,4.3111058154852E-08,129.7,0.05,0.818,0.022,,,,,,,,,,
104,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,129.7,0.5,2.83,0.15,,,,,,,,,,
113,(n>p+4n)/(n>T+2n),28306.45,193Pt*m,4.33,374112,0,0,1.85277986421164E-06,135.5,0.03,0.112,,,,,,,,,,,
31,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,137.69,0.03,1.3,0,,,,,,,,,,
109,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,140.385,0.009,0.03,0.0015,,,,,,,,,,
26,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,147.81,0.02,43,0,,,,,,,,,,
86,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,155.68,0.04,0.32,0.08,,,,,,,,,,
28,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,168.37,0.02,7.6,0,,,,,,,,,,
72,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,173.52,0.05,2.7,0,,,,,,,,,,
33,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,174.91,0.02,0.408,0.009,,,,,,,,,,
7,(n>g),0,198Au*m,2.27,196128,0,0,3.53415718591912E-06,180.31,0.05,50,3,,,,,,,,,,
69,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,186.17,0.03,9.4,0.5,,,,,,,,,,
74,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,187.83,0.04,0.8,0.3,,,,,,,,,,
27,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,188.27,0.03,37.4,0,,,,,,,,,,
101,(n>p),0,197Pt,0.8288125,71609.4,0,0,9.67955576446591E-06,191.437,0.01,3.7,0,,,,,,,,,,
42,(n>3n),14789.5,195Au,186.09,16078176,0,0,4.3111058154852E-08,199.533,0.002,0.0086,0.0007,,,,,,,,,,
44,(n>3n),14789.5,195Au*m,0.0003530093,30.5,0,0,0.0227261371,200.38,0.04,1.64,0.06,,,,,,,,,,
8,(n>g),0,198Au*m,2.27,196128,0,0,3.53415718591912E-06,204.1,0.06,40.8,2.3,,,,,,,,,,
41,(n>3n),14789.5,195Au,186.09,16078176,0,0,4.3111058154852E-08,211.407,0.002,0.0109,0.0011,,,,,,,,,,
