Vyhodnocováno skriptem: FortyThree.py 
 
Vstupní parametry: 
Faktor šírky píku = 1 
Pocet iterací pri vyhlazování pozadí = 8  
Byl použit 4. typ vyhlazování pozadí. 
Spektrum nebylo vyhlazováno. 
 
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 2465.52
 
Energie (keV)                Plocha (-)                Reakce                   Intenzita(%)                 Isotop                    Polocas (s)
     0.385502                 12.000000                   -                           -                         -                           -  
     3.355321                150.444444                   -                           -                         -                           -  
     4.543248                905.592593                   -                           -                         -                           -  
     8.700994               9042.851852                   n,a                      48.0000                     194Ir                   0.03185 
    10.482885              11485.584362                   n,p                       1.0700                     197Pt            5724.599999999999 
    12.264776               1776.829904                  n,5n                       0.2400                     193Au                   63540.0 
    15.234594               -219.773663                   -                           -                         -                           -  
    17.610449                -61.163542                   -                           -                         -                           -  
    19.392340                  2.612153                  n,2n                       0.0029                     196Au            34559.99999999999 
    21.768195                228.786161                   -                           -                         -                           -  
    24.738013                -20.126835                   -                           -                         -                           -  
    25.925941                  4.124388                  n,4n                       0.0130                     194Au                       0.6 
    28.301795                 96.995212                   n,a                       0.0220                     194Ir                   0.03185 
    30.677650                213.069376                   n,a                       0.1660                     194Ir                   0.03185 
    32.459541                 41.073542                  n,5n                       0.0011                     193Au            3.9000000000000004 
    34.241432                183.196320                   n,a                       0.0241                     194Ir                   0.03185 
    37.805214                -36.584421                  n,5n                       0.0520                     193Au            3.9000000000000004 
    39.587105                -32.972585                   n,a                       0.1250                     194Ir                   0.03185 
    41.962960                 88.342472                   -                           -                         -                           -  
    43.150888                -13.996954                   n,a                       0.1600                     194Ir                   0.03185 
    46.120706                 17.739401                  n,4n                       5.4000                     194Au                       0.6 
    47.902597                -73.110773                   -                           -                         -                           -  
    49.090524                 10.629742                  n,4n                       0.0240                     194Au                  136872.0 
    50.872415               -249.901197                  n,2n                       0.0050                     196Au            34559.99999999999 
    53.248270               -182.189288                   n,p                       1.0900                     197Pt            5724.599999999999 
    55.030161                162.159126                   -                           -                         -                           -  
    56.812052                930.092006                  n,3n                       0.0302                     195Au                      30.5 
